SUBJECT,Idade,Situação
3,19,Tudo ok
10,22,Tudo ok
48,,Tudo ok
50,23,Tudo ok
52,20,Tudo ok
53,,Tudo ok
366,,Tudo ok
572,,Tudo ok
643,,Tudo ok
656,,Tudo ok
659,,Tudo ok
661,,Tudo ok
662,36,Tudo ok
666,,Tudo ok
676,,Tudo ok
704,,Tudo ok
706,,Tudo ok
708,20,Tudo ok
711,23,Tudo ok
712,,Conferir
718,21,Pendências
720,21,Tudo ok
721,19,Pendências
723,22,Pendências
729,,Tudo ok
731 excluído,25,Pendências
732,,Conferir
734,,Conferir
736,,Conferir
739,,Conferir
743,,Conferir
748,,Conferir
751,22,Pendências
757,,Conferir
758,,Conferir
759,,Conferir
762,,Conferir
763,,Conferir
765,,Conferir
778,,Conferir
779,,Conferir
786,,Conferir
789,,Conferir
790,,Conferir
791,,Conferir
